FIPS,CITY,viol2017,prop2017,violChan,propChan
672506,Solana Beach,185.7368,1785.484,74.19601,-370.9709
672996,South El Monte,488.8335,2393.596,-115.6445,-744.854
673080,South Gate,573.6577,2918.161,-6.037537,-469.0774
673220,South Pasadena,66.4518,1935.687,-47.67306,-757.6591
673962,Stanton,312.8636,1612.719,-77.67108,-365.647
678120,Temecula,0,2172.593,-102.0838,-439.498
678148,Temple City,98.98946,1109.497,-81.71364,-188.28
678582,Thousand Oaks,84.2044,1279.158,-20.43031,65.85681
680000,Torrance,70.53813,1489.293,-72.85217,-441.1162
680854,Tustin,48.47726,1599.218,-110.1502,-493.4453
680994,Twentynine Palms,279.8024,1103.833,-49.63641,-474.4086
681344,Upland,,,,
665042,Ventura,292.7021,3486.444,-47.06012,-56.53076
682590,Victorville,604.4889,2746.047,-25.51794,-503.7175
682744,Villa Park,12.96302,1171.15,-3.698091,-211.7227
682996,Vista,389.2829,1757.263,43.15738,-249.861
683332,Walnut,92.61839,1223.196,-9.124359,166.3838
684200,West Covina,208.2371,2501.085,-32.98093,-233.9424
684410,West Hollywood,739.7556,3982.247,-32.5304,120.8174
684438,Westlake Village,27.3352,2091.633,-43.0708,-196.5627
684550,Westminster,236.2829,2699.164,-90.78964,-485.2056
685292,Whittier,278.0483,2723.643,6.999329,-158.8149
686832,Yorba Linda,49.501,989.7379,-7.269215,43.56769
687042,Yucaipa,210.4377,1912.88,34.73016,-533.9401
687056,Yucca Valley,478.9846,2465.591,-217.767,-598.2703
